OBJECTID,PCPC_NUM,GLOBALID,NAME,P_DIST,ST_EXT,PT_ADD,ZIP,SURVEY_YEAR,GLA,GLA_2003,GLA_1995,COMM_COUNT,COMM_COUNT_2003,COMM_COUNT_1995,OCC_COUNT,VAC_COUNT,VAC_RATE,VAC_RATE_2003,VAC_RATE_1995,CORRIDOR_TYPE,PHYS_CHAR,AGE,STAGE,STAGE_2003,STAGE_1995,COND_PUB,COND_PRIV,STORE_MIX,COND_SUM,COND_SUM_2003,COND_SUM_1995,CRM_ORG,SS_DIST,CDC_TAX_CREDIT,E_ZONES,FY12_MGMT,FY12_MGMT_AMOUNT,FY13_MGMT,FY13_MGMT_AMOUNT,FY14_MGMT,FY14_MGMT_AMOUNT,FY15_MGMT,FY15_MGMT_AMOUNT,FY16_MGMT,FY16_MGMT_AMOUNTS,FY12_CLEANING,FY12_CLEANING_AMOUNT,FY13_CLEANING,FY13_CLEANING_AMOUNT,FY14_CLEANING,FY14_CLEANING_AMOUNT,FY15_CLEANING,FY15_CLEANING_AMOUNT,FY11_SIP,FY11_SIP_TOTAL,FY12_SIP,FY12_SIP_TOTAL,FY13_SIP,FY13_SIP_TOTAL,FY14_SIP,FY14_SIP_TOTAL,FY15_SIP,FY15_SIP_TOTAL,FY14_IS,FY14_IS_AMOUNT,FY15_IS,FY15_IS_AMOUNT,FY08_11_SBP_CITY,FY08_11_SBP_TOTAL,FY12_15_SBP_CITY,FY12_15_SBP_TOTAL,FY16_19_SBP_CITY,FY16_19_SBP_TOTAL,FY08_11_PD,FY12_15_PD,FY16_19_PD,Shape__Area,Shape__Length
61,201,1cd6872a-a21e-473d-ad8c-54771ebd9b44,Erie Torresdale,North,AdamsI/LuzerneSedgley,1501 E. Erie Avenue,19124,2016,"300,000","420,000","195,000",73,84,60,67,6,8.20%,13.80%,10.0%,2,2,1960,1,4,4,2,3,3,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647647.88671875,6816.07336117043
62,1,7641fd8c-8205-46ec-9910-ab7a87b3b371,Market West,Central,Broad22nd/ArchSpruce,1701 Chestnut Street,19103,2012,"2,470,000",,"2,420,000",961,,1123,877,84,8.70%,,15.90%,4,1,1880,1,,4,1,1,2,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646081.3984375,5342.52104445928
63,10,614d63b2-6457-439a-afbf-f637f91e72c1,South Street/Front-8th,Central,Front8th/PineBainbridge,327 South Street,19147,2012,"445,000",,"398,000",422,,341,350,72,17.10%,,10.60%,6,1,1890,1,,1,1,2,1,4,,4,South Street Headhouse District,South Street Headhouse District,,,,,,,,,,,,,,,,,,,,,2,8073,4,28728,7,29489,4,12228,5,32526,,,,,3193703,23910406,794475,2094475,1450000,1450000,,,,445410.9140625,3856.37932546376
64,11,82e92cc2-8ec7-418d-bcf0-ad55a73a10d7,South Street/8th-12th,Central,8th12th/LombardBainbridge,1001 South Street,19147,2012,"115,000","57,015","99,000",63,31,58,54,9,14.30%,12.90%,32.60%,2,1,1910,2,1,1,2,1,1,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196698.6796875,1974.023287641
65,133,369635a7-1551-4451-8124-f5df2201f8b2,48th and Brown,West,47th49th/ParrishAspen,801 N. 48th Street,19139,2017,"15,000","58,000","45,000",3,15,2,3,0,0.00%,53.00%,0.00%,1,3,1960,4,3,1,1,2,4,7,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38346.4921875,1028.88346303696
66,14,3380e456-e59e-481d-be21-274f0a812375,Central Waterfront/Spring Garden,Central,Delaware RiverI95/ColumbiaRace,608 N. Delaware Ave,19123,2012,"275,000",,"175,000",38,,27,24,14,36.80%,,18.50%,6,5,1980,4,,4,3,2,2,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126618.10546875,6173.25691450688
67,115,d010638c-5805-4e43-9788-5fa545761b9e,Park West Town Center,West Park,ParksideAmtrak/50th52nd,1575 N. 52nd Street,19131,2017,"335,000",,,20,0,0,19,1,5.0%,,,3,3,200,1,,,1,1,1,3,,,Office of Business  Services,,,WPEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36000,,,,,,,,,,,,,,381691.8359375,2504.48599624872
68,116,77ed304c-88a1-48a9-843d-206523e67374,Progress Haddington Plaza,West,55th57th/HaverfordVine,"5601 Vine Street

e Stre5601 Vine Street
et",19139,2017,"80,000","84,000","50,000",15,14,11,12,3,"20.0%
",7.10%,0.00%,2,3,1980,1,1,1,3,2,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91202.6953125,1436.24375928526
69,118,2e2c553c-a910-41be-8773-cb7ed15766c1,North 52nd Street,West Park,N 52nd/ LancasterPoplar,1300 N. 52nd Street,19131,2017,"150,000","234,000","120,000",111,169,128,97,14,"12.6%
",42.60%,33.60%,2,5,1910,1,3,3,3,3,3,8,10,10,West Phila Financial Services Institution,,,WPEZ,,,,,,,,,,,,,,,,,,,,,,,1,12000,,,,,,,,,,,,,300000,300000,,,,350441.28515625,5220.66518127531
70,119,89d66646-fc1f-46a5-8895-45cb33cf5749,Lansdowne Avenue,West,Lansdowne/59th63rd,6014 Lansdowne Avenue,19151,2017,"90,000","127,000","95,000",82,91,75,52,30,36.6%,20.90%,24.00%,1,1,1910,3,3,1,2,4,3,9,7,7,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,13,108787,2,16000,1,7388,2,14588,1,7200,,,,,1905489,1905489,,,,,,,,88758.76171875,2075.365145368
71,120,cec08562-7029-44c3-b447-e56fec5e6d8e,54006000 Lancaster Ave,West,Lancaster/54th61st,5648 Lancaster Avenue,19131,2017,"80,000","70,000","25,000",42,41,20,35,7,16.7%,39.00%,20.00%,2,5,1930,4,4,3,2,2,2,6,9,9,Office of Business Services,,,WPEZ (5300 block only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843200,1843200,,,,,,,,167561.546875,3871.16489621276
72,121,b77275b7-182b-4861-a425-d8799b485537,Lancaster and Girard,West Park,Lancaster/44th50th,4825 Lancaster Avenue,19131,2017,"70,000","40,000","20,000",56,20,10,45,11,"19.6%
",20.00%,20.00%,1,5,1920,2,4,3,3,4,3,10,10,9,Office of Business  Services,,,WPEZ,,,,,,,,,,,,,,,,,,,1,12000,,,,,,,,,,,,,900000,1900000,,,,,,,,273458.859375,3548.80808930482
73,122,41410f0e-744d-4b40-a848-45024fa3c7de,63rd and Lancaster,West Park,61st63rd/SherwoodLebanon,"1923 North 63rd Street
",19151,2017,"80,000","103,000","79,000",34,51,52,32,4,11.8%,23.50%,8.20%,1,5,1920,1,1,1,2,2,3,7,6,6,City Ave District,,,,,,,,,,,,,,,,,,,,,,2,15408,,,1,11445,,,,,,,,,,,500000,1000000,,,,,,221627.08203125,2951.72279137931
74,123,e2188629-2d7b-4315-8855-a1b7b6ddb95f,54th and Berks,West Park,N 54th/LebanonHazelhurst,1901 N. 54th Street,19131,2011,"40,000","40,000","30,000",45,44,30,32,13,28.90%,18.20%,10.00%,1,1,1920,3,3,1,3,4,3,10,9,9,Wynnefield Overbrook Revit Corp,,WORC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,,,,,,34441.9609375,1395.45907273225
75,124,b766ef00-1667-4eab-b830-bbaa69d8701e,Bryn Mawr and Wynnefield,West Park,Bryn Mawr/NevadaGainor,5026 Wynnefield Avenue,19131,2011,"28,000","28,000","25,000",10,10,10,9,1,10.00%,10.00%,0.00%,1,5,1950,1,1,1,2,3,3,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30778.09375,875.700864565042
