OBJECTID,PCPC_NUM,GLOBALID,NAME,P_DIST,ST_EXT,PT_ADD,ZIP,SURVEY_YEAR,GLA,GLA_2003,GLA_1995,COMM_COUNT,COMM_COUNT_2003,COMM_COUNT_1995,OCC_COUNT,VAC_COUNT,VAC_RATE,VAC_RATE_2003,VAC_RATE_1995,CORRIDOR_TYPE,PHYS_CHAR,AGE,STAGE,STAGE_2003,STAGE_1995,COND_PUB,COND_PRIV,STORE_MIX,COND_SUM,COND_SUM_2003,COND_SUM_1995,CRM_ORG,SS_DIST,CDC_TAX_CREDIT,E_ZONES,FY12_MGMT,FY12_MGMT_AMOUNT,FY13_MGMT,FY13_MGMT_AMOUNT,FY14_MGMT,FY14_MGMT_AMOUNT,FY15_MGMT,FY15_MGMT_AMOUNT,FY16_MGMT,FY16_MGMT_AMOUNTS,FY12_CLEANING,FY12_CLEANING_AMOUNT,FY13_CLEANING,FY13_CLEANING_AMOUNT,FY14_CLEANING,FY14_CLEANING_AMOUNT,FY15_CLEANING,FY15_CLEANING_AMOUNT,FY11_SIP,FY11_SIP_TOTAL,FY12_SIP,FY12_SIP_TOTAL,FY13_SIP,FY13_SIP_TOTAL,FY14_SIP,FY14_SIP_TOTAL,FY15_SIP,FY15_SIP_TOTAL,FY14_IS,FY14_IS_AMOUNT,FY15_IS,FY15_IS_AMOUNT,FY08_11_SBP_CITY,FY08_11_SBP_TOTAL,FY12_15_SBP_CITY,FY12_15_SBP_TOTAL,FY16_19_SBP_CITY,FY16_19_SBP_TOTAL,FY08_11_PD,FY12_15_PD,FY16_19_PD,Shape__Area,Shape__Length
76,125,5931ad1b-1d0e-4ba0-84a7-bd03e9fea4ea,54th and City Avenue,West Park,54th/City AveOverbrook,2463 N. 54th Street,19066,2011,"50,000","24,000","50,000",25,12,29,22,3,12.00%,33.30%,17.20%,1,5,1950,1,4,1,1,2,4,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59583.55078125,1670.99150133044
77,41,59a057ba-0005-4f11-ade7-baaddb74e8eb,Penrose and Packer,Lower South,19th22nd/PollockHomestead,2016 Penrose Avenue,19145,2011,"28,000","28,000","28,000",11,9,7,10,1,9.10%,19.00%,28.60%,1,2,1970,1,3,1,3,2,4,9,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128942.640625,2138.69868446991
78,42,84f2d828-3700-4a06-96a9-49102facbbf0,Navy Yard,Lower South,League Island16th/I95Delaware River,5000 S. Broad Street ,19112,2011,"4,614",,,2,,,2,0,0.00%,,,1,5,2000,4,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696549.484375,5259.34212870562
79,315,d1aa6669-d96a-45a4-b065-7b3615288b83,Bells Corner,Central NE,Bustleton/BergenHoffnagle,8300 Bustleton Ave,19152,2012,"55,000","60,000","60,000",29,36,36,20,9,31.00%,13.90%,13.90%,2,5,1950,3,,1,2,2,2,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89024.92578125,1950.77111799725
80,316,36bea5ea-e441-4401-aff4-aa9d5fdd4c97,Pennypack Circle,Central NE,Boulevard/BensonHartel,8100 Roosevelt Blvd,19152,2012,"160,000","160,000","160,000",45,50,50,42,3,6.70%,10.00%,10.00%,2,5,1950,4,,1,2,2,1,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264355.20703125,5222.75334085348
81,44,e9d26198-863d-45af-b1b3-d0c59524a087,West Oregon,South,Oregon/18th22nd ,1901 W. Oregon Avenue,19145,2014,"140,000","203,650","115,000",31,30,29,26,5,16.10%,6.70%,6.90%,2,5,1950,1,4,1,2,2,2,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129726.83203125,2101.1351212806
82,45,61a9e52c-d3d3-4df6-97ad-44c99cd9cce3,Quartermaster Plaza and vicinity,South,22nd25th/PassyunkI76,2300 W. Oregon Avenue,19145,2014,"913,000","454,450","424,000",81,62,49,72,9,11.10%,8.10%,8.20%,3,5,1950,1,1,1,2,2,1,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637761.3046875,3731.05858391585
83,72,f7a4dd61-3b96-4e7d-9e8e-bc6c0a5b1097,49th and Woodland,University SW,Woodland/46th50th,4800 Woodland Avenue,19143,2012,"40,000",,,43,,,24,19,44.20%,,,1,5,1900,4,,,4,4,3,11,,,University City District,UCD,UCD,,,,,,,,,,,,,,,,,,,,2,20509,1,8000,,,2,24000,,,,,2,95439,,,31000,31000,,,,,,74783.09765625,1913.3651191113
84,80,65cde1f9-4bc0-4f44-88ca-fb23dd53ff9a,58th and Baltimore,University SW,Baltimore/56th60th,5716 Baltimore Avenue,19143,2017,"55,000","59,000","55,000",20,29,18,19,1,5.00%,6.90%,16.70%,2,5,1950,1,4,1,2,2,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98257.56640625,1773.59354502756
85,81,9cecef42-5bd7-4831-916e-20a937cf2838,55th and Baltimore,University SW,Baltimore/54th56th,5500 Baltimore Avenue,19143,2017,"25,000","50,000","30,000",30,35,45,19,11,36.70%,40.00%,46.60%,1,1,1920,3,3,3,4,4,4,12,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78670.85546875,1535.52481605021
