address,zip,name,num_stores,quality
4600 E Roosevelt Blv,19124.0,Adams and the Boulevard,85.0,1.0
4501 Castor Ave,19124.0,Castor and Wyoming,11.0,2.0
4261 Frankford Ave,19124.0,Frankford Avenue/Church,47.0,3.0
3501 Kensington Avenue,19134.0,Kensington Ave/Harrowgate,19.0,4.0
3528 I Street,19132.0,Harrowgate Plaza,11.0,4.0
4396 Richmond Street,19137.0,Bridesburg,32.0,2.0
2200 S. 7th Street,19148.0,South Seventh Street,138.0,3.0
1400 S. 10th Street,19147.0,Reed and Passyunk,14.0,2.0
1722 E. Passyunk Avenue,19148.0,East Passyunk,164.0,2.0
1701 S. Broad Street,19148.0,Broad and Morris,51.0,2.0
2010 W. Passyunk Avenue,19145.0,20th and Passyunk,28.0,3.0
2101 S. 20th Street,19145.0,Snyder Avenue/17th-23rd,71.0,2.0
2500 Snyder Avenue,19145.0,Wilson Park,8.0,4.0
1300 Point Breeze Avenue,19146.0,Point Breeze Avenue,107.0,2.0
2001 Washington Avenue,19146.0,Washington Avenue West,61.0,3.0
3001 Grays Ferry Avenue,19146.0,30th and Grays Ferry,13.0,1.0
,19146.0,reserved  - Christian St. vicinity,30.0,
7298 Woodland Avenue,19142.0,Woodland and Island Avenues,10.0,2.0
6924 Elmwood Avenue,19142.0,Elmwood Avenue,92.0,2.0
6098 Passyunk,19153.0,61st and Passyunk,6.0,3.0
2900 Island Avenue,19153.0,Penrose Plaza and vicinity,42.0,3.0
5400 Woodland Avenue,19143.0,54th and Woodland,57.0,2.0
1601 S. 58th Street,19143.0,58th and Florence,13.0,4.0
5131 Chester Avenue,19143.0,52nd and Chester,10.0,4.0
4600 Chestnut Street,19139.0,46th Street and vicinity,83.0,2.0
4800 Spruce Street,19143.0,48th and Spruce,39.0,2.0
318 S. 5th Street,19106.0,5th and Delancey,5.0,2.0
1100 Pine Street,19147.0,Pine Street,46.0,3.0
2684 S. Broad Street,19148.0,Broad and Oregon,111.0,2.0
1526 Packer Avenue,19145.0,Packer Park ,25.0,2.0
1300 Pattison Avenue,19148.0,Sports Complex,12.0,1.0
3427 Conrad Street,19129.0,Conrad and Sunnyside,17.0,2.0
3502 Scotts Lane,19129.0,Scotts Lane,12.0,3.0
2401 Kensington Avenue,19133.0,Front and Kensington,181.0,3.0
1700 Frankford Avenue,19125.0,Palmer Park,17.0,3.0
2043 Frankford Avenue,19125.0,Frankford and Susquehanna,49.0,3.0
2132 Lehigh Avenue,19125.0,Trenton and Lehigh,3.0,4.0
4700 Frankford Ave,19124.0,Frankford Avenue/Margaret-Orthodox,206.0,4.0
5201 Frankford Ave,19124.0,Frankford Avenue/Bridge-Pratt,88.0,1.0
4851 James St,19124.0,Wakeling and Aramingo,5.0,4.0
6001 Torresdale,19135.0,Torresdale Avenue - Wissinoming,67.0,4.0
6301 Keystone Street,19135.0,reserved - Keystone Street,,
6401 Torresdale Avenue,19135.0,Torresdale and Levick,15.0,3.0
6900 Torresdale Avenue,19135.0,Torresdale Avenue - Tacony,133.0,2.0
3632 Powelton Avenue,19104.0,36th and Lancaster,51.0,2.0
2700 W. Girard Avenue,19121.0,West Girard,105.0,2.0
600 W. Girard Avenue,19123.0,Girard and Marshall,81.0,3.0
2701 Cecil B. Moore Avenue,19121.0,27th and Cecil B. Moore,40.0,4.0
2121 W. Diamond Street,19121.0,22nd and Diamond,11.0,4.0
2913 Ridge Avenue,19121.0,Ridge and Diamond,43.0,4.0
2301 N. 29th Street,19132.0,Strawberry Square,37.0,2.0
2600 W. Lehigh Avenue,19132.0,West Lehigh,78.0,3.0
2634 E. Allegheny Avenue,19134.0,Richmond and Allegheny,121.0,3.0
2638 E. Cumberland Street,19125.0,Lower Aramingo Avenue,49.0,1.0
1201 Frankford Avenue,19125.0,East Girard,178.0,2.0
4319 Main Street,19127.0,Main Street - Manayunk,168.0,1.0
6521 Castor Ave,19111.0,Castor and Magee,134.0,2.0
6600 Frankford Avenue,19135.0,Frankford Avenue - Lower Mayfair,132.0,2.0
6501 Harbison Ave,19149.0,Roosevelt Plaza and vicinity,37.0,1.0
6301 Bustleton Ave,19149.0,Bustleton and the Boulevard,23.0,3.0
6800 Bustleton Ave,19149.0,Bustleton and Harbison,55.0,2.0
7000 Castor Ave,19111.0,Castor and Tyson,41.0,2.0
