lat,lng,name,type,grade
39.9878565379559,-75.23146859453509,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),CHARTER,ELEMENTARY/MIDDLE
39.988180899727,-75.2430437606572,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),CHARTER,ELEMENTARY SCHOOL
40.0807023824213,-74.9878482048175,"LA BRUM, GENERAL J. HARRY",DISTRICT,MIDDLE SCHOOL
39.9707322443329,-75.2055509793296,BELMONT ACADEMY CHARTER SCHOOL,CHARTER,ELEMENTARY SCHOOL
40.1048749663119,-75.01711570126629,PHILADELPHIA ACADEMY CHARTER SCHOOL,CHARTER,HIGH SCHOOL
39.978688461377004,-75.1613770301658,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),CHARTER,ELEMENTARY SCHOOL
39.9502520000276,-75.15233599995742,CONSTITUTION HIGH SCHOOL,DISTRICT,HIGH SCHOOL
39.9944190479345,-75.1148200223767,RUSSELL H. CONWELL SCHOOL,DISTRICT,MIDDLE SCHOOL
40.025526000187504,-75.1460740001465,JAY COOKE SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.0224720000888,-75.2068019997144,COOK-WISSAHICKON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.0026291206135,-75.12993625036741,WILLIAM CRAMP SCHOOL,DISTRICT,ELEMENTARY SCHOOL
39.93941992019921,-75.16548375023379,HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,DISTRICT,HIGH SCHOOL
40.0621902887023,-75.0813314616159,KENNEDY C. CROSSAN SCHOOL,DISTRICT,ELEMENTARY SCHOOL
40.058406820418895,-75.1683346406611,ANNA B. DAY SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9927516402774,-75.1386274300872,JULIA DE BURGOS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.095818000413296,-74.9705349994652,STEPHEN DECATUR SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9867299995588,-75.17378700035209,WILLIAM DICK SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.0283691102385,-75.0465890400023,HAMILTON DISSTON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9951425235826,-75.1668959217613,MURRELL DOBBINS CAREER AND TECHNICAL HIGH SCHOOL,DISTRICT,HIGH SCHOOL
40.031475359549496,-75.2306716306961,JAMES DOBSON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9853056434017,-75.1589535680948,TANNER G. DUCKREY SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9794877297917,-75.1541697395967,PAUL L. DUNBAR SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.011854510011894,-75.1294424968469,THOMAS A. EDISON HIGH SCHOOL,DISTRICT,HIGH SCHOOL
40.072961257233096,-75.1709998691682,FRANKLIN S. EDMONDS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9970180005438,-75.12127399937779,LEWIS ELKIN SCHOOL,DISTRICT,ELEMENTARY SCHOOL
40.0550249498537,-75.1385380940791,ELLWOOD SCHOOL,DISTRICT,ELEMENTARY SCHOOL
40.054362890236604,-75.1779057294733,ELEANOR C. EMLEN SCHOOL,DISTRICT,ELEMENTARY SCHOOL
39.9834180895182,-75.1612778907416,HIGH SCHOOL OF ENGINEERING AND SCIENCE,DISTRICT,MIDDLE/HIGH
40.0665716200306,-75.0524147597251,LOUIS H. FARRELL SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9154511155284,-75.16310735867691,D. NEWLIN FELL SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.0356498559299,-75.0917070912305,SAMUEL FELS HIGH SCHOOL,DISTRICT,HIGH SCHOOL
40.0194369997541,-75.1216749993245,FELTONVILLE SCHOOL OF ARTS AND SCIENCES,DISTRICT,MIDDLE SCHOOL
40.020340020324895,-75.1210256402893,FELTONVILLE INTERMEDIATE SCHOOL,DISTRICT,ELEMENTARY SCHOOL
40.0436080000095,-75.1191760006802,THOMAS K. FINLETTER SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.026100520364,-75.1663373296687,FITLER ACADEMICS PLUS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.0803060002588,-74.97652900031659,A.L. FITZPATRICK SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
40.0344399997797,-75.0358909997947,EDWIN FORREST SCHOOL,DISTRICT,ELEMENTARY SCHOOL
40.0748566048441,-75.08079432150559,FOX CHASE SCHOOL,DISTRICT,ELEMENTARY SCHOOL
39.9386082230515,-75.1586546170628,CHRISTOPHER COLUMBUS CS (ANNEX),CHARTER,ELEMENTARY SCHOOL
40.0882879999167,-75.0282220001821,ANNE FRANK SCHOOL,DISTRICT,ELEMENTARY SCHOOL
40.021629263581204,-75.085153299292,FRANKFORD HIGH SCHOOL,DISTRICT,HIGH SCHOOL
39.9650489996572,-75.1627529996906,FRANKLIN LEARNING CENTER,DISTRICT,HIGH SCHOOL
39.9635299998603,-75.1616399993992,BENJAMIN FRANKLIN HIGH SCHOOL,DISTRICT,HIGH SCHOOL
40.042448242956205,-75.1042930779703,BENJAMIN FRANKLIN SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
39.9237619995179,-75.1505849997142,FURNESS HIGH SCHOOL,DISTRICT,HIGH SCHOOL
39.98437491988,-75.1807633815337,EDWARD GIDEON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
