lat,lng,name
39.9535582,-75.1929054,White Dog Cafe
39.94776489999999,-75.2227702,Dock Street Brewery West
39.9507723,-75.1690167,Sofitel Philadelphia at Rittenhouse Square
39.9462581,-75.1453259,Zahav
40.02057799999999,-75.1337964,Tierra Colombiana Restaurant
39.9803519,-75.1230516,Memphis Taproom
40.02254480000001,-75.2191448,Manayunk Brewing Company
39.91250189999999,-75.1839499,Penrose Hotel Philadelphia
39.8770699,-75.2405638,Earl of Sandwich
39.9558695,-75.2019129,Distrito
39.9599691,-75.1906236,Sabrina's Cafe
40.0035603,-75.22430520000002,Olive Garden Italian Restaurant
39.9690372,-75.134323,Johnny Brenda's
39.960273,-75.16870639999999,Sabrina's Cafe & Spencer's Too
39.9685125,-75.178553,Figs
40.0542329,-75.21818789999999,Valley Green Inn
40.0295,-75.2059752,Dalessandro's Steaks
40.0591514,-75.1904672,Earth Bread + Brewery
40.0273254,-75.0600335,Chickie's & Pete's
40.0810767,-75.0384782,Big Daddy Pizza
40.04560600000001,-75.06089000000001,Steve's Prince of Steaks
40.0767007,-75.1286286,Szechuan Mandarin
40.0909779,-74.9392812,Golden Corral Buffet & Grill
40.1354545,-74.97964379999999,Toscana 52
40.0794488,-75.02537749999999,Nifty Fifty's (Northeast Philadelphia)
40.028605,-75.026978,Sweet Lucy's Smokehouse
40.05504009999999,-75.1259329,Cafe Soho
39.96527779999999,-75.2752778,Pica's Restaurant of Upper Darby
40.08724759999999,-75.03991479999999,Dolce Pizza Ristorante
40.150178,-74.999105,Bowlero Feasterville
39.949831,-75.1732573,The Rittenhouse Hotel
40.0079121,-75.2111218,TGI Fridays
39.9804768,-75.1130069,Tacconelli's Pizza
40.082019,-75.170987,Rita's Italian Ice & Frozen Custard
40.07854100000001,-75.031967,Olive Garden Italian Restaurant
40.0445448,-75.0917335,Subway
40.053855,-74.9839582,Three Monkeys Cafe
39.92107540000001,-75.1450699,John's Roast Pork
40.0634151,-75.1530969,Relish
39.9520673,-75.1851726,World Cafe Live Philadelphia
40.092,-74.96124000000002,Dave & Buster's
39.9549347,-75.2074114,The Restaurant School at Walnut Hill College
39.9507554,-75.1637453,The Capital Grille
40.0384672,-75.1242852,Seorabol Restaurant
40.0161021,-75.17307199999999,Jeffreys
39.91167929999999,-75.174641,Chickie's & Pete's
39.8749291,-75.2438813,Cibo Bistro & Wine Bar
39.887789,-75.247,Ruby Tuesday
39.902294,-75.2419549,Subway
39.956221,-75.138577,Dave & Buster's
39.9641636,-75.1405212,Standard Tap
39.96138759999999,-75.1463394,Silk City
39.965029,-75.16105600000002,Osteria
39.9983286,-75.09381920000001,Sonic Drive-In
40.076116,-75.03137629999999,Chuck E. Cheese
40.076926,-75.1282671,Marco Polo Ristorante & Bar
39.9806746,-75.1280968,Pizza Brain
39.9688818,-75.2929719,Llanerch Diner
40.0691943,-75.1998158,CinCin Restaurant
40.0755287,-75.2794905,Spring Mill Cafe
40.0406902,-75.0758632,Picanha Brazilian Steakhouse
40.0501419,-75.0111494,The Dining Car
40.10326079999999,-75.0100961,No. 1 China
39.9531992,-75.160217,12th & Filbert
39.979115,-75.1600576,Subway
39.9116371,-75.1827325,Popi's Italian Restaurant
39.8747543,-75.24708150000001,Jack Duggan's Pub
39.90678469999999,-75.222455,The Oasis
39.9550806,-75.2117778,Saad's Halal Restaurant
40.0055149,-75.2437573,Hymie's
39.9609712,-75.1469089,Yards Brewing Company
40.0325352,-75.08453589999999,bp
40.076255,-75.084874,Moonstruck
39.9481342,-75.21693669999999,Vietnam Café
40.09165,-74.93997,Texas Roadhouse
40.1373631,-74.9646482,Chipotle Mexican Grill
39.966856,-75.3012985,Chipotle Mexican Grill
40.154461,-75.00139999999999,The Buck Hotel
39.8619306,-75.2082389,Riverwinds Restaurant
40.0752174,-75.205319,Iron Hill Brewery & Restaurant
39.9415536,-75.1493134,Jim's South St. (Jim's Steaks South Street)
40.028638,-75.058396,Red Robin Diner
40.0242573,-75.222207,Bourbon Blue
40.0856045,-75.2505247,The Persian Grille
40.0436091,-74.9896527,Maggie's Waterfront Cafe
40.0745867,-74.9676748,Champ's Pizza
40.10180479999999,-75.0283329,Benny The Bum's
40.0826462,-75.0256924,Buffalo Wild Wings
39.927216,-75.171477,South Philadelphia Tap Room
39.954101,-75.200795,Chipotle Mexican Grill
39.9501768,-75.1626101,McGillin's Olde Ale House
