number,lat,lng
95.0,39.9658709,-75.237914
138.0,39.9764504,-75.1771771
140.0,39.97353579999999,-75.16309659999999
142.0,39.9652375,-75.13596120000001
144.0,39.9722286,-75.1400952
146.0,39.9764305,-75.154699
148.0,39.9802047,-75.169161
152.0,39.985454600000004,-75.17004909999999
156.0,39.9790066,-75.141891
191.0,40.009551,-75.107182
197.0,40.0162799,-75.1379372
199.0,40.0048515,-75.1435463
202.0,40.0081282,-75.1621609
204.0,40.0198216,-75.1525117
206.0,40.0198,-75.182774
14.0,39.9429436,-75.171593
16.0,39.9402546,-75.14831269999999
18.0,39.939999799999995,-75.15930909999999
20.0,39.9381416,-75.1843145
22.0,39.9364111,-75.17039229999999
24.0,39.9367634,-75.15951
29.0,39.9306984,-75.1655729
50.0,39.889876799999996,-75.1691412
55.0,39.9074191,-75.24891740000001
60.0,39.9115196,-75.238157
62.0,39.919413399999996,-75.2335257
100.0,39.9710834,-75.25037590000001
102.0,39.968083,-75.23167009999999
104.0,39.9654995,-75.2191193
106.0,39.9646327,-75.2079213
108.0,39.9660217,-75.198989
110.0,39.9737291,-75.20629509999999
112.0,39.9736041,-75.2336533
114.0,39.9807388,-75.2440178
158.0,39.973577299999995,-75.12943270000001
161.0,39.9844571,-75.127525
163.0,39.9885061,-75.1339156
165.0,39.989055,-75.1491723
168.0,39.991782,-75.167654
169.02,39.9939857,-75.18319340000001
207.0,40.0126929,-75.19448670000001
209.0,40.0186576,-75.2089795
211.0,40.0264564,-75.2065293
213.0,40.032233899999994,-75.2181175
215.0,40.0350417,-75.2288249
241.0,40.0332734,-75.17591750000001
243.0,40.0215855,-75.17103759999999
245.0,40.033328600000004,-75.1620463
247.0,40.041703399999996,-75.1645311
249.0,40.051100899999994,-75.1601167
253.0,40.0542198,-75.18222
255.0,40.06257960000001,-75.184064
283.0,40.026050500000004,-75.14385250000001
285.0,40.028715399999996,-75.1337359
287.0,40.0218194,-75.1314402
290.0,40.0296096,-75.1166058
292.0,40.0249561,-75.102158
294.0,40.0094789,-75.08547209999999
333.0,40.05501470000001,-75.0440558
335.0,40.054601399999996,-75.06486770000001
338.0,40.062648100000004,-75.07364399999999
340.0,40.07117589999999,-75.0735007
342.0,40.0825947,-75.0721585
344.0,40.0943325,-75.05644190000001
64.0,39.925180499999996,-75.2428396
66.0,39.9293155,-75.2298425
364.0,40.1127747,-74.97891369999999
348.03,40.0619427,-75.0023705
362.02,40.0838623,-74.97818050000001
83.02,39.956698100000004,-75.2414378
10.02,39.945004499999996,-75.1466193
4.02,39.9532973,-75.1686952
122.04,40.0009407,-75.21207690000001
136.02,39.971571399999995,-75.1798097
345.02,40.0814446,-75.0383811
9.02,39.9471596,-75.1566389
172.01,39.999397200000004,-75.1686145
274.01,40.0386049,-75.12864959999999
201.02,40.0111415,-75.1545676
311.02,40.037085,-75.0833729
195.01,40.0004303,-75.13162270000001
289.02,40.0216105,-75.1116877
331.02,40.045105,-75.02728690000001
305.01,40.04281629999999,-75.0994351
98.02,39.974587899999996,-75.2679037
177.02,39.995062100000006,-75.12313990000001
356.02,40.1079419,-75.04806009999999
357.02,40.1130914,-75.0374316
151.01,39.986963200000005,-75.1857502
365.01,40.12908770000001,-75.0120077
134.02,39.965362299999995,-75.1690326
136.01,39.9689697,-75.17857740000001
382.0,39.996374100000004,-75.0973643
381.0,40.018933399999995,-75.03995640000001
1.0,39.95238270000001,-75.1466628
3.0,39.956878,-75.1716655
6.0,39.9493845,-75.1583354
32.0,39.9333011,-75.1854187
36.0,39.9279255,-75.19202059999999
37.02,39.9245283,-75.1824354
40.02,39.9188943,-75.167416
40.01,39.9238035,-75.16621020000001
42.02,39.916857,-75.1516284
79.0,39.950463,-75.218257
82.0,39.9491574,-75.24444940000001
83.01,39.957781,-75.24673840000001
85.0,39.9568821,-75.22653890000001
91.0,39.9594179,-75.19772449999999
93.0,39.9622914,-75.2240225
69.0,39.930620399999995,-75.2146526
72.0,39.944637,-75.2332168
74.0,39.9408575,-75.21430670000001
78.0,39.946458,-75.2162637
117.0,39.991907,-75.2404371
119.0,39.9861142,-75.2288429
121.0,39.996499799999995,-75.2223795
131.0,39.9651312,-75.1507381
133.0,39.9666126,-75.16294549999999
137.0,39.9772752,-75.18423229999999
171.0,40.002744899999996,-75.1763248
174.0,39.9962138,-75.15035859999999
178.0,39.9913734,-75.1173063
183.0,39.995603499999994,-75.0746225
188.0,39.9973659,-75.10582959999999
218.0,40.05747589999999,-75.2324353
220.0,40.056217700000005,-75.2520092
231.0,40.06666370000001,-75.2038514
236.0,40.0427145,-75.194694
238.0,40.038937,-75.1827038
240.0,40.028080700000004,-75.1794623
258.0,40.07398010000001,-75.1823113
260.0,40.0761235,-75.16945600000001
262.0,40.066494,-75.1692176
263.02,40.0687425,-75.15719449999999
265.0,40.0587255,-75.15469209999999
267.0,40.054756899999994,-75.1479247
299.0,40.013146500000005,-75.0747146
301.0,40.02049470000001,-75.0885046
306.0,40.0504922,-75.09437870000001
308.0,40.0547831,-75.0819056
310.0,40.0497292,-75.0744541
313.0,40.039319,-75.06981400000001
317.0,40.030605,-75.0683989
347.01,40.0645576,-75.0329783
349.0,40.0453848,-75.00907679999999
352.0,40.0559122,-74.9907443
263.01,40.072814799999996,-75.1637161
12.02,39.9459117,-75.16994749999999
8.03,39.949374799999994,-75.17424890000001
27.02,39.9280114,-75.14956059999999
30.01,39.929064000000004,-75.17199120000001
9807.0,39.9104684,-75.14316559999999
9806.0,39.9055378,-75.1707151
337.02,40.0707532,-75.0578212
314.01,40.0457134,-75.0665728
167.01,39.9911965,-75.1619017
279.01,40.0458879,-75.1544482
81.01,39.948364899999994,-75.2360506
88.02,39.9529808,-75.20278929999999
87.01,39.953565600000005,-75.2104988
86.02,39.9569725,-75.21670300000001
9808.0,39.9714517,-75.26217700000001
88.01,39.95393189999999,-75.1984477
98.01,39.9775172,-75.2665972
28.01,39.9289729,-75.1568319
8.01,39.949737400000004,-75.1804054
274.02,40.039070200000005,-75.1251352
365.02,40.1235705,-74.9993521
376.0,39.959900899999994,-75.15516509999999
385.0,40.0757528,-75.21462340000001
388.0,40.0571595,-75.1982438
9800.0,39.9880961,-75.1967773
270.0,40.0493231,-75.1331512
272.0,40.047233899999995,-75.1180889
275.0,40.040049700000004,-75.1322707
277.0,40.05054439999999,-75.1512267
280.0,40.026119,-75.15464809999999
282.0,40.034870399999996,-75.1403327
319.0,40.02306,-75.0648988
321.0,40.0170175,-75.05897519999999
325.0,40.02639179999999,-75.0452561
9891.0,40.037783000000005,-75.00340849999999
330.0,40.0335974,-75.0338492
9803.0,40.0812065,-75.01069770000001
358.0,40.1213169,-75.0257898
360.0,40.104267,-75.0108187
362.03,40.076092100000004,-74.97429670000001
362.01,40.082029999999996,-74.9868079
369.0,39.9494281,-75.19575479999999
