name,num_stores,quality,lat,lng
2nd and Fairmount,83.0,3.0,39.962128,-75.140989
2nd and Girard,124.0,1.0,39.968135,-75.139872
6th and Germantown,16.0,3.0,39.981635,-75.14406
"Broad, Lehigh, & Glenwood",49.0,3.0,39.994122999999995,-75.153829
Germantown and Lehigh,141.0,2.0,39.992781,-75.147583
40th and Girard,16.0,4.0,39.973864,-75.204084
Fairmount/19th-25th,69.0,1.0,39.967074,-75.173302
Spring Garden/16th-23rd,46.0,4.0,39.963912,-75.17078199999999
Spring Garden/9th-13th ,51.0,4.0,39.961719,-75.157705
Broad and Fairmount,54.0,4.0,39.966699,-75.16076600000001
Broad and Spring Garden,45.0,4.0,39.961929999999995,-75.16119
Callowhill East,50.0,4.0,39.95892,-75.155445
Spring Garden/2nd-9th,36.0,2.0,39.961104999999996,-75.146557
5th and Lehigh,147.0,2.0,39.994367,-75.13988499999999
2nd and Lehigh,31.0,1.0,39.992262,-75.135568
Parkway/Logan Circle,60.0,3.0,39.955918,-75.168309
South 4th Street ,76.0,2.0,39.939155,-75.14956
9th Street - Italian Market,334.0,2.0,39.936221999999994,-75.158424
Wissahickon,38.0,3.0,40.015728,-75.21100200000001
Andorra Shopping Center,43.0,1.0,40.060935,-75.23621800000001
6th and Washington,57.0,2.0,39.934656,-75.154656
East Falls,60.0,2.0,40.008879,-75.193608
Central Waterfront/Washington,81.0,4.0,39.93249,-75.146176
Snyder Plaza and Columbus Commons,51.0,1.0,39.92123,-75.146372
Harbison and Torresdale ,21.0,3.0,40.012361,-75.068955
Market East,941.0,3.0,39.950891999999996,-75.159048
Whitman Plaza and vicinity,91.0,1.0,39.913961,-75.152937
Five Points,135.0,1.0,40.061196,-75.083826
Broad and Girard,110.0,2.0,39.971211,-75.15900500000001
Girard and Ridge,49.0,4.0,39.972148,-75.166013
City Avenue/50th-52nd,30.0,2.0,39.998675,-75.23103499999999
City Ave and Belmont vicinity,68.0,1.0,40.00345,-75.22101500000001
Pathmark Super Center,10.0,2.0,40.002316,-75.213832
Wynnefield Heights,18.0,2.0,39.999840999999996,-75.20913399999999
36th Street and vicinity,104.0,2.0,39.954376,-75.195549
40th Street and vicinity,119.0,1.0,39.954556,-75.202924
40th and Lancaster,203.0,3.0,39.964919,-75.204464
Oregon Ave/5th-13th,62.0,2.0,39.916255,-75.163512
Fox Chase,64.0,2.0,40.076975,-75.085484
Cottman and the Boulevard,209.0,1.0,40.049428000000006,-75.060383
Roosevelt/Cottman-Tyson,62.0,1.0,40.042493,-75.055841
Callowhill West,42.0,2.0,39.960946,-75.170648
Chinatown,220.0,1.0,39.954609000000005,-75.156358
Broad and Washington,94.0,3.0,39.938355,-75.165492
South Street/16th-21st,57.0,2.0,39.944477,-75.170825
South and Grays Ferry,53.0,1.0,39.945052000000004,-75.179601
Old City,395.0,2.0,39.950287,-75.145256
Woodland Avenue,228.0,2.0,39.927882000000004,-75.230586
Chester Avenue,66.0,2.0,39.938468,-75.224226
23rd and Walnut,19.0,2.0,39.951499,-75.17868100000001
30th Street,48.0,2.0,39.954473,-75.183926
Broad and Cecil B. Moore,102.0,2.0,39.977999,-75.15843199999999
Ridge and Cecil B. Moore,122.0,4.0,39.979926,-75.17126
Central Waterfront/Penns Landing,9.0,2.0,40.190452,-75.126983
Broad and Susquehanna,103.0,3.0,39.986576,-75.156596
N 22nd Street/Hope Plaza,145.0,2.0,39.998792,-75.166652
Hunting Park West,28.0,1.0,40.011907,-75.17567700000001
Broad and Snyder,162.0,3.0,39.925084999999996,-75.17002099999999
Pennsport Mall/South Second,49.0,3.0,39.925539,-75.151023
Aramingo Avenue,150.0,1.0,39.994203000000006,-75.09465300000001
Erie Torresdale,73.0,3.0,40.006204,-75.098686
Market West,961.0,2.0,39.951743,-75.16891600000001
South Street/Front-8th,422.0,1.0,39.941638,-75.148095
South Street/8th-12th,63.0,1.0,39.94265,-75.158631
48th and Brown,3.0,4.0,39.966996,-75.216138
Central Waterfront/Spring Garden,38.0,2.0,39.960597,-75.137582
Park West Town Center,20.0,1.0,39.978759000000004,-75.224046
Progress Haddington Plaza,15.0,2.0,39.966537,-75.23275600000001
North 52nd Street,111.0,3.0,39.973143,-75.226504
Lansdowne Avenue,82.0,3.0,39.975596,-75.24086700000001
54006000 Lancaster Ave,42.0,2.0,39.980181,-75.235414
Lancaster and Girard,56.0,3.0,39.973267,-75.21824000000001
63rd and Lancaster,34.0,3.0,39.984596999999994,-75.24690600000001
54th and Berks,45.0,3.0,39.986081,-75.231595
Bryn Mawr and Wynnefield,10.0,3.0,39.991234999999996,-75.226169
54th and City Avenue,25.0,4.0,39.995774,-75.234066
Penrose and Packer,11.0,4.0,39.912948,-75.182277
Navy Yard,2.0,2.0,39.889371999999995,-75.176162
Bells Corner,29.0,2.0,40.067352,-75.05148100000001
Pennypack Circle,45.0,1.0,40.058113,-75.045859
West Oregon,31.0,2.0,39.917755,-75.179285
Quartermaster Plaza and vicinity,81.0,1.0,39.918671999999994,-75.18607800000001
49th and Woodland,43.0,3.0,39.941741,-75.211608
58th and Baltimore,20.0,2.0,39.945551,-75.238553
55th and Baltimore,30.0,4.0,39.947054,-75.233897
50th and Baltimore,81.0,2.0,39.947751000000004,-75.223382
46th and Baltimore,58.0,2.0,39.948619,-75.215032
City Avenue Shopping Center,31.0,1.0,39.977209,-75.274212
City and Haverford,76.0,1.0,39.977759999999996,-75.26692800000001
10th and Snyder,22.0,2.0,39.923328000000005,-75.16302900000001
Pier 70 Plaza and vicinity,12.0,1.0,39.908533,-75.138562
