name,lat,lng,category,mode,dist,time
EDWIN M. STANTON SCHOOL,39.9405029995584,-75.17101700037891,schools,transit,-1.0,7.0
SCIENCE LEADERSHIP ACADEMY,39.96122417056171,-75.1626167526329,schools,transit,-1.0,12.0
SCIENCE LEADERSHIP ACADEMY MIDDLE SCHOOL,39.9559095512984,-75.19455964495859,schools,transit,-1.0,13.0
LAURA W. WARING SCHOOL,39.9649193905508,-75.1677006005967,schools,transit,-1.0,15.0
PARKWAY CENTER CITY MIDDLE COLLEGE HIGH SCHOOL,39.9630050104016,-75.1592864998634,schools,transit,-1.0,12.0
CONSTITUTION HIGH SCHOOL,39.9502520000276,-75.15233599995742,schools,transit,-1.0,11.0
4th Street Behavioral Healthcare,39.948104,-75.147747,medical,transit,-1.0,12.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
Snyder Avenue Dental Center,39.924883,-75.173854,medical,transit,-1.0,14.0
Fairmount Primary Care Center at Horizon House,39.952657,-75.18388900000002,medical,transit,-1.0,7.0
Health Center 5,39.954491,-75.173035,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
Fairmount Primary Care Center,39.96743,-75.18008499999998,medical,transit,-1.0,15.0
Good Shepherd Penn Partners,39.944911,-75.172638,medical,transit,-1.0,6.0
Meade Family Health Center,39.958852,-75.16878100000002,medical,transit,-1.0,8.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
Mary Howard Health Center,39.948852,-75.155392,medical,transit,-1.0,11.0
Hospital of the University of Pennsylvania,39.949948,-75.194096,medical,transit,-1.0,13.0
11th Street Family Health Services,39.957067,-75.157156,medical,transit,-1.0,13.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
Penn Presbyterian Medical Center,39.958495,-75.199329,medical,transit,-1.0,15.0
Magee Rehabilitation Hospital ,39.956806,-75.165397,medical,transit,-1.0,9.0
Wills Eye Hospital,39.94802,-75.155019,medical,transit,-1.0,10.0
Pennsylvania Hospital,39.945308,-75.15567,medical,transit,-1.0,12.0
Thomas Jefferson University Hospital,39.949348,-75.158015,medical,transit,-1.0,8.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
4th Street Behavioral Healthcare,39.948104,-75.147747,medical,transit,-1.0,12.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
The Children's Hospital of Philadelphia,39.952399,-75.16359,medical,transit,-1.0,7.0
Charles H Chew Sr Playground,39.938235999999996,-75.174033,recreation,transit,-1.0,9.0
Philadelphia Museum of Art,39.967935,-75.176073,recreation,transit,-1.0,14.0
Eakins Oval,39.961332,-75.174226,recreation,transit,-1.0,12.0
Julian Abele Park,39.940836,-75.179303,recreation,transit,-1.0,12.0
Ralph Brooks Park,39.931445000000004,-75.177734,recreation,transit,-1.0,14.0
